Country1,Total
Afghanistan,106.6
Albania,56.8
Algeria,70
Angola,86.9
Antigua and Barbuda,53.8
Argentina,46.4
Armenia,67.5
Australia,22
Austria,24.4
Azerbaijan,72.7
Bahamas,49.2
Bahrain,65.1
Bangladesh,85.2
Barbados,45.4
Belarus,69.9
Belgium,31.4
Belize,59.8
Benin,73.3
Bhutan,66.4
Bolivia,70.7
Bosnia and Herzegovina,72.3
Botswana,55.3
Brazil,74.5
Brunei Darussalam,54.7
Bulgaria,51.8
Burkina Faso,94
Burundi,94.2
Cabo Verde,60.1
Cambodia,80.3
Cameroon,94
Canada,18.9
Central African Republic,105.7
Chad,104.6
Chile,42.2
China,65.1
Colombia,78.1
Comoros,82.2
Congo Democratic Republic,107.2
Congo Republic,90.7
Costa Rica,40.4
Croatia,48.7
Cuba,59.5
Cyprus,57
Czechia,40.2
Côte d'Ivoire,87.1
Denmark,17.9
Djibouti,82.2
Dominican Republic,60.8
Ecuador,69.4
Egypt,81.6
El Salvador,69.3
Equatorial Guinea,84.4
Eritrea,94.5
Estonia,38.6
Eswatini,79.1
Ethiopia,100.4
Fiji,70.2
Finland,16
France,28.8
Gabon,65.5
Gambia,76.1
Georgia,71.9
Germany,24.6
Ghana,62.3
Greece,55.1
Grenada,53.7
Guatemala,77.3
Guinea,98.5
Guinea Bissau,89.9
Guyana,61.6
Haiti,102.9
Honduras,79.6
Hungary,48.8
Iceland,15.7
India,74.1
Indonesia,65.6
Iran,85.4
Iraq,91.4
Ireland,19.5
Israel,44.1
Italy,42.6
Jamaica,61.9
Japan,30.5
Jordan,75.7
Kazakhstan,60.6
Kenya,87.8
Kuwait,51.2
Kyrgyz Republic,75.6
Laos,74.7
Latvia,43.3
Lebanon,91.8
Lesotho,76.3
Liberia,88.9
Libya,96.1
Lithuania,39.4
Luxembourg,19.5
Madagascar,81.7
Malawi,83.2
Malaysia,55
Maldives,62.9
Mali,99.5
Malta,33
Mauritania,87
Mauritius,38
Mexico,69.8
Micronesia,69.3
Moldova,67.4
Mongolia,51.3
Montenegro,58
Morocco,68.2
Mozambique,94
Myanmar,100.2
Namibia,60.3
Nepal,80.2
Netherlands,21
New Zealand,16.7
Nicaragua,77.7
Niger,93.4
Nigeria,98
North Korea,87
North Macedonia,60.3
Norway,14.5
Oman,48.7
Pakistan,89.9
Palestine,87.9
Panama,48.7
Papua New Guinea,78.1
Paraguay,63.7
Peru,73.1
Philippines,77.8
Poland,45.2
Portugal,25.7
Qatar,40.5
Romania,53
Russia,80.7
Rwanda,82.3
Samoa,65.1
Sao Tome and Principe,69.7
Saudi Arabia,65.3
Senegal,71.5
Serbia,67.9
Seychelles,53.3
Sierra Leone,81.4
Singapore,25.5
Slovakia,37.8
Slovenia,27.3
Solomon Islands,79.6
Somalia,111.9
South Africa,72
South Korea,31.5
South Sudan,108.5
Spain,43.5
Sri Lanka,90.3
Sudan,106.2
Suriname,59.7
Sweden,20.6
Switzerland,17.8
Syria,107.1
Tajikistan,74.2
Tanzania,76.6
Thailand,68
Timor-Leste,77.5
Togo,82.1
Trinidad and Tobago,52.9
Tunisia,66.4
Turkmenistan,64.5
Türkiye,81.2
Uganda,91.5
Ukraine,95.9
United Arab Emirates,37
United Kingdom,41.9
United States,45.3
Uruguay,34.4
Uzbekistan,66.8
Venezuela,90.5
Vietnam,58.3
Yemen,108.9
Zambia,81.8
Zimbabwe,96.9
